                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 0.2029,                  1.859,                0.14902,                0.17068,                0.94119,                0.99828,                      1,                  0.995,                0.99276,                0.99828,                      1,                  0.995,                0.60001,                 0.2867,                 1.7684,                0.14867,                0.24289,                0.57552,              0.0018733,              0.0018733,              0.0018733
                     34,                0.20392,                  1.771,                0.14934,                0.17269,                0.93818,                0.99835,                      1,                  0.995,                 0.9735,                0.96898,                0.97059,                0.96743,                  0.571,                0.26731,                  1.793,                0.14106,                0.22628,                 0.5406,              0.0018693,              0.0018693,              0.0018693
                     35,                 0.1894,                 1.5982,                0.14685,                0.15992,                0.93071,                0.99842,                      1,                  0.995,                0.98297,                0.96906,                0.97059,                0.96845,                0.57704,                0.33428,                 1.6837,                0.14967,                0.22409,                0.60381,              0.0018654,              0.0018654,              0.0018654
                     36,                0.18349,                 1.5073,                0.14935,                0.15776,                0.93382,                0.99839,                      1,                  0.995,                 0.9899,                0.99839,                      1,                  0.995,                0.67668,                0.25012,                  1.244,                0.15881,                0.21663,                0.53314,              0.0018614,              0.0018614,              0.0018614
                     37,                0.20496,                 1.5457,                0.14294,                0.17048,                0.94284,                0.99827,                      1,                  0.995,                0.98625,                0.99827,                      1,                  0.995,                0.59105,                0.31478,                 1.8255,                0.17108,                0.24256,                0.59665,              0.0018574,              0.0018574,              0.0018574
                     38,                0.19804,                 1.3976,                0.14137,                 0.1649,                0.94359,                0.99848,                      1,                  0.995,                0.97177,                0.99848,                      1,                  0.995,                0.58928,                0.32059,                 1.4781,                0.13281,                0.22748,                0.62566,              0.0018535,              0.0018535,              0.0018535
                     39,                0.20179,                 1.5082,                 0.1401,                0.16696,                0.94209,                0.99622,                      1,                  0.995,                0.99082,                0.90825,                0.91176,                0.90767,                0.59264,                 0.3006,                 1.7859,                0.14167,                0.20588,                0.58216,              0.0018495,              0.0018495,              0.0018495
                     40,                0.18781,                  1.479,                0.14077,                0.15499,                0.93516,                0.99766,                      1,                  0.995,                0.98263,                0.94011,                0.94118,                0.97195,                0.52414,                0.30866,                  2.031,                0.14722,                0.23569,                0.58644,              0.0018456,              0.0018456,              0.0018456
                     41,                 0.1784,                 1.3949,                0.14017,                0.14959,                0.93603,                0.97968,                      1,                  0.995,                 0.9752,                0.95087,                0.97059,                0.94979,                0.65587,                0.26895,                 1.2424,                0.14235,                0.24163,                0.54876,              0.0018416,              0.0018416,              0.0018416
                     42,                0.19031,                  1.483,                 0.1411,                0.16175,                0.93328,                0.99838,                      1,                  0.995,                0.97229,                0.99838,                      1,                  0.995,                0.73122,                0.30251,                  1.067,                0.14663,                0.22666,                0.57728,              0.0018376,              0.0018376,              0.0018376
                     43,                0.17979,                 1.5868,                0.14467,                0.15564,                0.92722,                0.99185,                      1,                  0.995,                0.97792,                0.99185,                      1,                  0.995,                0.66357,                0.31312,                  1.359,                0.14811,                0.23623,                0.59689,              0.0018337,              0.0018337,              0.0018337
                     44,                 0.1854,                 1.5723,                0.14638,                0.15295,                 0.9372,                 0.9977,                      1,                  0.995,                0.99068,                 0.9977,                      1,                  0.995,                0.64571,                0.26341,                 1.4458,                 0.1413,                0.21513,                0.53089,              0.0018297,              0.0018297,              0.0018297
                     45,                0.17126,                 1.5329,                0.13489,                0.15251,                0.92735,                0.99851,                      1,                  0.995,                0.98419,                0.99851,                      1,                  0.995,                0.70029,                0.27466,                 1.1194,                0.12371,                0.21766,                0.56472,              0.0018258,              0.0018258,              0.0018258
                     46,                0.16428,                 1.4381,                0.14034,                0.14728,                 0.9358,                 0.9984,                      1,                  0.995,                0.97991,                 0.9984,                      1,                  0.995,                0.61751,                0.30842,                 1.5958,                0.14382,                 0.2335,                0.57524,              0.0018218,              0.0018218,              0.0018218
                     47,                0.17639,                 1.2757,                 0.1309,                0.14822,                0.93209,                0.99848,                      1,                  0.995,                0.98441,                0.99848,                      1,                  0.995,                0.68259,                0.30245,                 1.4087,                0.14047,                0.22969,                0.59293,              0.0018178,              0.0018178,              0.0018178
                     48,                0.18588,                 1.3857,                0.13435,                0.16064,                0.93242,                0.99845,                      1,                  0.995,                0.98567,                0.99845,                      1,                  0.995,                 0.6174,                0.26905,                 1.5082,                0.13552,                0.23283,                0.57649,              0.0018139,              0.0018139,              0.0018139
                     49,                0.18597,                 1.4897,                0.13411,                0.15727,                0.93238,                0.99846,                      1,                  0.995,                0.98398,                0.99846,                      1,                  0.995,                0.69652,                0.24957,                 1.1106,                0.12981,                0.19026,                0.52584,              0.0018099,              0.0018099,              0.0018099
                     50,                0.18022,                 1.3487,                 0.1295,                0.15485,                0.93113,                0.99842,                      1,                  0.995,                0.97727,                0.99842,                      1,                  0.995,                0.72727,                0.31114,                 1.0307,                0.12638,                 0.2304,                0.59272,               0.001806,               0.001806,               0.001806
                     51,                  0.184,                 1.3628,                0.13591,                0.15498,                0.94362,                0.99842,                      1,                  0.995,                 0.9787,                0.99842,                      1,                  0.995,                0.66083,                0.31312,                 1.3463,                0.15575,                0.23957,                0.60138,               0.001802,               0.001802,               0.001802
                     52,                0.17715,                 1.4907,                0.13028,                0.15959,                0.94608,                0.99907,                      1,                  0.995,                0.98892,                0.99907,                      1,                  0.995,                0.65955,                0.26062,                 1.3402,                0.13672,                0.22732,                0.54006,               0.001798,               0.001798,               0.001798
                     53,                0.17433,                 1.6243,                0.13451,                0.15146,                0.93031,                0.99842,                      1,                  0.995,                0.98635,                0.99842,                      1,                  0.995,                0.72612,                0.24706,                 1.1474,                0.13743,                0.19966,                0.53406,              0.0017941,              0.0017941,              0.0017941
                     54,                0.16617,                 1.2637,                 0.1318,                0.14353,                 0.9244,                0.99768,                      1,                  0.995,                0.99055,                0.99768,                      1,                  0.995,                0.74388,                 0.2788,                0.97765,                 0.1334,                0.21204,                0.56008,              0.0017901,              0.0017901,              0.0017901
                     55,                0.17771,                  1.209,                0.13052,                0.15239,                0.92371,                0.97087,                      1,                  0.995,                0.96774,                0.97087,                      1,                  0.995,                0.69982,                0.31604,                 1.2688,                0.15159,                0.21541,                0.59662,              0.0017862,              0.0017862,              0.0017862
                     56,                0.17607,                 1.1332,                0.12649,                0.15019,                0.92557,                0.99776,                      1,                  0.995,                0.97078,                0.99776,                      1,                  0.995,                0.76799,                0.32097,                 1.1282,                0.15615,                0.21669,                0.60736,              0.0017822,              0.0017822,              0.0017822
                     57,                 0.1729,                 1.2704,                0.12946,                0.15705,                0.92833,                      1,                      1,                  0.995,                0.98745,                      1,                      1,                  0.995,                0.80304,                0.26586,                0.94211,                0.13586,                0.20992,                0.54121,              0.0017782,              0.0017782,              0.0017782
                     58,                0.16677,                 1.1334,                0.13079,                0.14754,                0.93271,                0.99847,                      1,                  0.995,                0.99192,                0.99847,                      1,                  0.995,                0.78975,                0.24297,                0.94393,                0.12214,                0.20994,                0.52817,              0.0017743,              0.0017743,              0.0017743
                     59,                0.16697,                 1.1257,                0.12568,                0.14931,                0.92228,                0.99835,                      1,                  0.995,                0.99175,                0.99835,                      1,                  0.995,                0.80158,                0.24892,                0.87287,                0.12266,                0.22319,                0.52885,              0.0017703,              0.0017703,              0.0017703
                     60,                0.16745,                 1.1032,                0.12639,                0.14624,                0.92064,                0.99838,                      1,                  0.995,                0.98565,                0.99838,                      1,                  0.995,                0.82022,                0.24879,                0.79764,                0.12529,                0.16372,                0.52581,              0.0017664,              0.0017664,              0.0017664
                     61,                0.16866,                 1.2672,                0.12615,                0.14811,                0.92511,                0.99847,                      1,                  0.995,                0.96873,                 0.9691,                0.97059,                0.96951,                0.77718,                 0.3105,                 1.0065,                0.12767,                0.24609,                0.57354,              0.0017624,              0.0017624,              0.0017624
                     62,                0.17641,                 1.1961,                0.13186,                0.14975,                0.93115,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                0.77606,                0.23432,                0.83229,                0.12471,                0.20265,                 0.5232,              0.0017584,              0.0017584,              0.0017584
